"REF_DATE","GEO","DGUID","Type of structure","Type of work","Variables","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-03","Canada","2016A000011124","Total residential and non-residential","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121293394","1.1.1.1.1","6940114",,,,"0"
"2020-04","Canada","2016A000011124","Total residential and non-residential","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121293394","1.1.1.1.1","5787303",,,,"0"
"2020-03","Canada","2016A000011124","Total residential and non-residential","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853555","1.1.1.1.3","5691573",,,,"0"
"2020-04","Canada","2016A000011124","Total residential and non-residential","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853555","1.1.1.1.3","4719811",,,,"0"
"2020-03","Canada","2016A000011124","Total residential and non-residential","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121293402","1.1.1.5.1","24520",,,,"0"
"2020-04","Canada","2016A000011124","Total residential and non-residential","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121293402","1.1.1.5.1","23738",,,,"0"
"2020-03","Canada","2016A000011124","Total residential and non-residential","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271792814","1.1.1.5.3",,"..",,,"0"
"2020-04","Canada","2016A000011124","Total residential and non-residential","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271792814","1.1.1.5.3",,"..",,,"0"
"2020-03","Canada","2016A000011124","Total residential","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121294114","1.4.1.1.1","4285018",,,,"0"
"2020-04","Canada","2016A000011124","Total residential","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121294114","1.4.1.1.1","3947394",,,,"0"
"2020-03","Canada","2016A000011124","Total residential","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853604","1.4.1.1.3","3466009",,,,"0"
"2020-04","Canada","2016A000011124","Total residential","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271853604","1.4.1.1.3","3165412",,,,"0"
